Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Abdul Baba,23,Ghana,9000000,76,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Tammy Abraham,20,England,10000000,74,2018-19
Midfielder,2,,,2.0,100%,,0.0,1.0,1.0,1.0,,5.0,5.0,7.0,1.0,0.0,2.0,,0.0,0,79,39.5,0.0,0.0,0%,0.0,7.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Adrien Silva,29,Portugal,12000000,79,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Benik Afobe,25,DR Congo,5000000,73,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Soufyan Ahannach,22,Netherlands,1100000,67,2018-19
Defender,38,10.0,70.0,66.0,53%,1.0,7.0,32.0,230.0,127.0,2.0,182.0,176.0,114.0,3.0,88.0,73.0,0.0,0.0,0,"1,696",44.63,2.0,6.0,83%,1.0,71.0,3,0,28,2.0,4,3.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,Nathan Aké,23,Netherlands,14500000,79,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Chuba Akpom,22,England,1500000,69,2018-19
Midfielder,27,,,36.0,61%,,8.0,23.0,24.0,12.0,,141.0,91.0,102.0,20.0,15.0,18.0,,0.0,2,621,23.0,6.0,125.0,17%,9.0,46.0,3,0,10,2.0,2,2.0,0.0,0.0,0.0,0.07,0.0,0.0,19.0,7.0,37%,0.0,,,,,,,,,Marc Albrighton,28,England,8000000,76,2018-19
Defender,34,12.0,31.0,37.0,65%,1.0,4.0,24.0,167.0,79.0,1.0,193.0,93.0,68.0,1.0,54.0,47.0,1.0,0.0,0,"2,358",69.35,1.0,6.0,33%,6.0,240.0,3,0,10,1.0,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,Toby Alderweireld,29,Belgium,34000000,85,2018-19
Defender,29,12.0,14.0,61.0,64%,0.0,8.0,35.0,62.0,22.0,1.0,169.0,91.0,96.0,14.0,9.0,23.0,0.0,0.0,12,"1,697",58.52,11.0,201.0,29%,3.0,117.0,3,0,14,4.0,1,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,Trent Alexander-Arnold,19,England,14000000,78,2018-19
